,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Code
57,72,0.724,0.603,10,-6.261,0,0.0317,0.183,0.000469,0.0948,0.569,111.493,240880,4,1
58,40,0.406,0.961,2,-3.382,0,0.157,0.000177,0.00183,0.325,0.508,186.025,181935,4,1
59,52,0.533,0.739,7,-9.361,1,0.0561,0.00299,3.69e-06,0.475,0.636,86.345,378373,4,1
60,30,0.455,0.841,7,-8.871,1,0.0471,0.0135,0.0241,0.0794,0.509,186.099,215695,4,1
61,43,0.237,0.658,4,-7.813,1,0.0335,0.136,3e-05,0.142,0.267,158.351,280827,4,1
62,23,0.224,0.889,5,-6.345,1,0.0672,0.0116,8.74e-05,0.411,0.34,134.936,210573,4,1
63,37,0.529,0.743,1,-6.865,1,0.091,0.00378,5.46e-06,0.0432,0.616,112.985,180000,4,1
64,64,0.536,0.845,2,-5.765,1,0.0615,0.0033,0.0,0.0465,0.6,159.953,208296,4,1
65,54,0.447,0.544,0,-6.509,1,0.378,0.466,0.133,0.547,0.625,139.925,125643,4,1
66,34,0.716,0.33,0,-13.283,1,0.046,0.193,2.94e-05,0.124,0.572,139.927,280840,4,1
67,56,0.252,0.872,8,-3.752,1,0.0777,0.00912,8.79e-06,0.109,0.399,126.938,236360,4,1
68,37,0.605,0.555,5,-10.323,1,0.0823,0.357,0.00145,0.226,0.212,86.984,136552,4,1
69,49,0.899,0.763,2,-11.548,1,0.0601,0.262,0.627,0.0869,0.905,122.005,315608,4,1
70,58,0.462,0.84,2,-6.667,1,0.0346,5.05e-05,6.47e-05,0.0893,0.805,75.542,246440,4,1
71,44,0.15,0.211,9,-12.814,0,0.0369,0.792,0.174,0.169,0.141,82.68,225400,4,1
72,44,0.447,0.568,2,-9.172,1,0.0423,0.473,0.00028,0.0824,0.309,117.561,218188,4,1
73,50,0.375,0.661,6,-7.113,0,0.0362,2.29e-05,0.0135,0.23,0.512,91.611,209804,4,1
74,40,0.252,0.147,2,-19.74,0,0.0365,0.911,0.949,0.103,0.0317,108.025,270025,4,1
75,45,0.345,0.811,1,-11.948,0,0.0654,0.0606,0.0466,0.357,0.625,142.834,183824,4,1
76,41,0.431,0.451,1,-9.064,1,0.0299,0.858,0.267,0.136,0.257,141.406,257329,4,1
77,56,0.398,0.92,2,-3.267,0,0.0491,0.00311,0.000531,0.108,0.226,200.131,202627,4,1
78,30,0.56,0.399,10,-9.848,1,0.0284,0.128,0.726,0.112,0.283,136.903,220700,4,1
79,48,0.595,0.696,4,-4.551,1,0.0311,0.0492,0.0,0.12,0.725,131.561,216880,4,1
80,45,0.277,0.0456,10,-21.903,0,0.0529,0.984,0.928,0.107,0.0398,99.421,262920,3,1
81,52,0.589,0.274,2,-12.442,1,0.031,0.302,0.000829,0.107,0.23,95.666,176733,4,1
82,51,0.833,0.716,9,-11.265,1,0.04,0.533,0.0,0.058,0.9,104.8,186627,4,1
83,54,0.18,0.915,0,-6.855,1,0.0946,0.0224,1.43e-05,0.0929,0.101,94.578,215360,1,1
84,40,0.513,0.956,5,-5.407,0,0.159,0.00381,0.0,0.391,0.458,150.181,195147,4,1
85,58,0.54,0.746,7,-9.412,1,0.045,0.13,8.73e-06,0.0976,0.826,163.809,219867,4,1
86,0,0.705,0.862,0,-5.962,0,0.0921,0.0884,0.918,0.26,0.424,125.303,237342,4,1
87,59,0.664,0.503,11,-7.85,0,0.159,0.377,0.0,0.387,0.404,113.97,228773,4,1
88,25,0.324,0.948,9,-4.609,1,0.0522,8.85e-06,0.561,0.165,0.342,90.542,160587,4,1
89,31,0.506,0.832,7,-3.913,1,0.0596,0.00154,2.15e-05,0.087,0.32,140.903,195587,4,1
90,2,0.669,0.932,2,-5.19,1,0.0404,0.0761,0.0,0.191,0.835,119.986,184132,4,1
91,40,0.604,0.808,0,-6.135,0,0.0438,0.0126,0.0813,0.484,0.369,128.958,250693,4,1
92,44,0.515,0.491,5,-11.1,0,0.0274,0.869,0.564,0.0977,0.223,146.908,254113,4,1
